employeeId,fullName,email,role,isRM,branchId
EMP-001,Employee 1,employee1@sbi.co.in,Relationship Manager,true,BR-025
EMP-002,Employee 2,employee2@sbi.co.in,Relationship Manager,true,BR-025
EMP-003,Employee 3,employee3@sbi.co.in,Relationship Manager,true,BR-002
EMP-004,Employee 4,employee4@sbi.co.in,Relationship Manager,true,BR-008
EMP-005,Employee 5,employee5@sbi.co.in,Relationship Manager,true,BR-002
EMP-006,Employee 6,employee6@sbi.co.in,Relationship Manager,true,BR-011
EMP-007,Employee 7,employee7@sbi.co.in,Relationship Manager,true,BR-013
EMP-008,Employee 8,employee8@sbi.co.in,Relationship Manager,true,BR-009
EMP-009,Employee 9,employee9@sbi.co.in,Relationship Manager,true,BR-003
EMP-010,Employee 10,employee10@sbi.co.in,Relationship Manager,true,BR-007
EMP-011,Employee 11,employee11@sbi.co.in,Relationship Manager,true,BR-019
EMP-012,Employee 12,employee12@sbi.co.in,Relationship Manager,true,BR-023
EMP-013,Employee 13,employee13@sbi.co.in,Relationship Manager,true,BR-011
EMP-014,Employee 14,employee14@sbi.co.in,Relationship Manager,true,BR-007
EMP-015,Employee 15,employee15@sbi.co.in,Relationship Manager,true,BR-021
EMP-016,Employee 16,employee16@sbi.co.in,Relationship Manager,true,BR-016
EMP-017,Employee 17,employee17@sbi.co.in,Relationship Manager,true,BR-013
EMP-018,Employee 18,employee18@sbi.co.in,Relationship Manager,true,BR-021
EMP-019,Employee 19,employee19@sbi.co.in,Relationship Manager,true,BR-015
EMP-020,Employee 20,employee20@sbi.co.in,Relationship Manager,true,BR-005
EMP-021,Employee 21,employee21@sbi.co.in,Branch Manager,false,BR-005
EMP-022,Employee 22,employee22@sbi.co.in,Loan Officer,false,BR-024
EMP-023,Employee 23,employee23@sbi.co.in,Underwriter,false,BR-018
EMP-024,Employee 24,employee24@sbi.co.in,Branch Manager,false,BR-024
EMP-025,Employee 25,employee25@sbi.co.in,Underwriter,false,BR-014
EMP-026,Employee 26,employee26@sbi.co.in,Underwriter,false,BR-013
EMP-027,Employee 27,employee27@sbi.co.in,Branch Manager,false,BR-008
EMP-028,Employee 28,employee28@sbi.co.in,Loan Officer,false,BR-017
EMP-029,Employee 29,employee29@sbi.co.in,Compliance Investigator,false,BR-003
EMP-030,Employee 30,employee30@sbi.co.in,Teller,false,BR-004
EMP-031,Employee 31,employee31@sbi.co.in,Loan Officer,false,BR-021
EMP-032,Employee 32,employee32@sbi.co.in,Loan Officer,false,BR-022
EMP-033,Employee 33,employee33@sbi.co.in,Compliance Investigator,false,BR-020
EMP-034,Employee 34,employee34@sbi.co.in,Teller,false,BR-013
EMP-035,Employee 35,employee35@sbi.co.in,Compliance Investigator,false,BR-020
EMP-036,Employee 36,employee36@sbi.co.in,Compliance Investigator,false,BR-017
EMP-037,Employee 37,employee37@sbi.co.in,Branch Manager,false,BR-018
EMP-038,Employee 38,employee38@sbi.co.in,Teller,false,BR-022
EMP-039,Employee 39,employee39@sbi.co.in,Customer Service Agent,false,BR-004
EMP-040,Employee 40,employee40@sbi.co.in,Customer Service Agent,false,BR-018
EMP-041,Employee 41,employee41@sbi.co.in,Branch Manager,false,BR-025
EMP-042,Employee 42,employee42@sbi.co.in,Customer Service Agent,false,BR-011
EMP-043,Employee 43,employee43@sbi.co.in,Teller,false,BR-010
EMP-044,Employee 44,employee44@sbi.co.in,Compliance Investigator,false,BR-006
EMP-045,Employee 45,employee45@sbi.co.in,Compliance Investigator,false,BR-001
EMP-046,Employee 46,employee46@sbi.co.in,Customer Service Agent,false,BR-024
EMP-047,Employee 47,employee47@sbi.co.in,Branch Manager,false,BR-017
EMP-048,Employee 48,employee48@sbi.co.in,Loan Officer,false,BR-017
EMP-049,Employee 49,employee49@sbi.co.in,Teller,false,BR-021
EMP-050,Employee 50,employee50@sbi.co.in,Branch Manager,false,BR-021
EMP-051,Employee 51,employee51@sbi.co.in,Underwriter,false,BR-020
EMP-052,Employee 52,employee52@sbi.co.in,Loan Officer,false,BR-005
EMP-053,Employee 53,employee53@sbi.co.in,Branch Manager,false,BR-025
EMP-054,Employee 54,employee54@sbi.co.in,Loan Officer,false,BR-018
EMP-055,Employee 55,employee55@sbi.co.in,Underwriter,false,BR-001
EMP-056,Employee 56,employee56@sbi.co.in,Underwriter,false,BR-011
EMP-057,Employee 57,employee57@sbi.co.in,Compliance Investigator,false,BR-001
EMP-058,Employee 58,employee58@sbi.co.in,Teller,false,BR-012
EMP-059,Employee 59,employee59@sbi.co.in,Branch Manager,false,BR-008
EMP-060,Employee 60,employee60@sbi.co.in,Teller,false,BR-008
EMP-061,Employee 61,employee61@sbi.co.in,Underwriter,false,BR-003
EMP-062,Employee 62,employee62@sbi.co.in,Teller,false,BR-024
EMP-063,Employee 63,employee63@sbi.co.in,Compliance Investigator,false,BR-003
EMP-064,Employee 64,employee64@sbi.co.in,Underwriter,false,BR-025
EMP-065,Employee 65,employee65@sbi.co.in,Loan Officer,false,BR-005
EMP-066,Employee 66,employee66@sbi.co.in,Customer Service Agent,false,BR-016
EMP-067,Employee 67,employee67@sbi.co.in,Underwriter,false,BR-006
EMP-068,Employee 68,employee68@sbi.co.in,Branch Manager,false,BR-017
EMP-069,Employee 69,employee69@sbi.co.in,Underwriter,false,BR-014
EMP-070,Employee 70,employee70@sbi.co.in,Loan Officer,false,BR-018
EMP-071,Employee 71,employee71@sbi.co.in,Customer Service Agent,false,BR-023
EMP-072,Employee 72,employee72@sbi.co.in,Loan Officer,false,BR-023
EMP-073,Employee 73,employee73@sbi.co.in,Branch Manager,false,BR-013
EMP-074,Employee 74,employee74@sbi.co.in,Customer Service Agent,false,BR-021
EMP-075,Employee 75,employee75@sbi.co.in,Branch Manager,false,BR-015
EMP-076,Employee 76,employee76@sbi.co.in,Underwriter,false,BR-015
EMP-077,Employee 77,employee77@sbi.co.in,Teller,false,BR-008
EMP-078,Employee 78,employee78@sbi.co.in,Loan Officer,false,BR-003
EMP-079,Employee 79,employee79@sbi.co.in,Branch Manager,false,BR-001
EMP-080,Employee 80,employee80@sbi.co.in,Underwriter,false,BR-018
EMP-081,Employee 81,employee81@sbi.co.in,Loan Officer,false,BR-019
EMP-082,Employee 82,employee82@sbi.co.in,Loan Officer,false,BR-001
EMP-083,Employee 83,employee83@sbi.co.in,Teller,false,BR-023
EMP-084,Employee 84,employee84@sbi.co.in,Customer Service Agent,false,BR-002
EMP-085,Employee 85,employee85@sbi.co.in,Loan Officer,false,BR-003
EMP-086,Employee 86,employee86@sbi.co.in,Teller,false,BR-011
EMP-087,Employee 87,employee87@sbi.co.in,Teller,false,BR-017
EMP-088,Employee 88,employee88@sbi.co.in,Loan Officer,false,BR-009
