customerId,firstName,lastName,dateOfBirth,annualIncome,occupation,city,segment,creditScore,relationshipManagerId
CUST-001,CustomerFirstName1,CustomerLastName1,1960-08-26,20749.2,Student,Ahmedabad,HNWI,598,EMP-003
CUST-002,CustomerFirstName2,CustomerLastName2,1965-10-02,100669.37,Consultant,Ahmedabad,MassRetail,372,
CUST-003,CustomerFirstName3,CustomerLastName3,1968-01-02,240591.85,Business Owner,Pune,HNWI,417,EMP-008
CUST-004,CustomerFirstName4,CustomerLastName4,1994-01-27,61717.03,Consultant,Bengaluru,HNWI,373,EMP-008
CUST-005,CustomerFirstName5,CustomerLastName5,1961-04-17,241936.0,Consultant,Ahmedabad,MassRetail,427,
CUST-006,CustomerFirstName6,CustomerLastName6,1997-08-13,132702.39,Consultant,Ahmedabad,MassAffluent,748,EMP-010
CUST-007,CustomerFirstName7,CustomerLastName7,1990-09-12,31161.02,Retired,Hyderabad,MassRetail,556,
CUST-008,CustomerFirstName8,CustomerLastName8,1956-03-19,84098.84,Engineer,Kolkata,MassRetail,341,
CUST-009,CustomerFirstName9,CustomerLastName9,1982-01-07,165309.88,Student,Kolkata,MassRetail,485,
CUST-010,CustomerFirstName10,CustomerLastName10,1993-03-13,247988.58,Doctor,Ahmedabad,HNWI,656,EMP-014
CUST-011,CustomerFirstName11,CustomerLastName11,1971-11-06,207637.38,Teacher,Hyderabad,MassAffluent,721,EMP-011
CUST-012,CustomerFirstName12,CustomerLastName12,1969-08-12,205523.39,Retired,Mumbai,HNWI,765,EMP-016
CUST-013,CustomerFirstName13,CustomerLastName13,1971-05-28,90671.68,Doctor,Pune,MassRetail,826,
CUST-014,CustomerFirstName14,CustomerLastName14,1994-10-03,263422.9,Student,Pune,MassRetail,355,
CUST-015,CustomerFirstName15,CustomerLastName15,1985-04-12,121298.22,Student,Ahmedabad,MassRetail,352,
CUST-016,CustomerFirstName16,CustomerLastName16,1968-03-04,173781.5,Consultant,Ahmedabad,MassRetail,796,
CUST-017,CustomerFirstName17,CustomerLastName17,1951-12-19,292481.11,Business Owner,Bengaluru,MassRetail,618,
CUST-018,CustomerFirstName18,CustomerLastName18,1987-08-01,134237.39,Business Owner,Delhi,HNWI,772,EMP-001
CUST-019,CustomerFirstName19,CustomerLastName19,1994-01-28,253000.09,Student,Kolkata,MassRetail,821,
CUST-020,CustomerFirstName20,CustomerLastName20,1978-04-11,253722.7,Student,Chennai,HNWI,767,EMP-009
CUST-021,CustomerFirstName21,CustomerLastName21,1976-02-08,73370.9,Teacher,Delhi,HNWI,582,EMP-005
CUST-022,CustomerFirstName22,CustomerLastName22,2003-08-09,162166.55,Engineer,Kolkata,MassAffluent,605,EMP-011
CUST-023,CustomerFirstName23,CustomerLastName23,1994-11-28,157099.3,Teacher,Ahmedabad,HNWI,795,EMP-019
CUST-024,CustomerFirstName24,CustomerLastName24,1987-07-23,233604.35,Retired,Ahmedabad,MassAffluent,629,EMP-011
CUST-025,CustomerFirstName25,CustomerLastName25,1997-06-19,86865.55,Retired,Chennai,MassRetail,720,
CUST-026,CustomerFirstName26,CustomerLastName26,1971-08-27,228517.44,Retired,Pune,MassRetail,455,
CUST-027,CustomerFirstName27,CustomerLastName27,1958-08-04,160641.52,Artist,Delhi,MassAffluent,750,EMP-002
CUST-028,CustomerFirstName28,CustomerLastName28,1985-10-16,274923.67,Engineer,Bengaluru,MassRetail,719,
CUST-029,CustomerFirstName29,CustomerLastName29,1955-02-03,151457.37,Consultant,Hyderabad,HNWI,707,EMP-005
CUST-030,CustomerFirstName30,CustomerLastName30,1972-05-11,258655.57,Retired,Hyderabad,HNWI,799,EMP-003
CUST-031,CustomerFirstName31,CustomerLastName31,1992-01-08,39157.81,Consultant,Chennai,HNWI,392,EMP-002
CUST-032,CustomerFirstName32,CustomerLastName32,2001-09-29,197449.39,Doctor,Ahmedabad,MassAffluent,470,EMP-004
CUST-033,CustomerFirstName33,CustomerLastName33,1951-12-21,32877.47,Engineer,Kolkata,HNWI,667,EMP-010
CUST-034,CustomerFirstName34,CustomerLastName34,1959-11-28,88375.28,Retired,Bengaluru,MassAffluent,474,EMP-014
CUST-035,CustomerFirstName35,CustomerLastName35,1955-05-17,190657.7,Retired,Chennai,MassRetail,809,
CUST-036,CustomerFirstName36,CustomerLastName36,1965-10-20,149121.98,Consultant,Ahmedabad,HNWI,561,EMP-005
CUST-037,CustomerFirstName37,CustomerLastName37,2004-10-03,150270.91,Consultant,Bengaluru,HNWI,375,EMP-001
CUST-038,CustomerFirstName38,CustomerLastName38,1989-12-26,103763.19,Retired,Kolkata,MassAffluent,767,EMP-012
CUST-039,CustomerFirstName39,CustomerLastName39,1976-03-06,258933.93,Doctor,Chennai,MassAffluent,690,EMP-007
CUST-040,CustomerFirstName40,CustomerLastName40,1989-02-12,102844.27,Consultant,Mumbai,HNWI,705,EMP-012
CUST-041,CustomerFirstName41,CustomerLastName41,1988-07-06,262218.87,Engineer,Ahmedabad,MassAffluent,593,EMP-001
CUST-042,CustomerFirstName42,CustomerLastName42,1991-04-24,244540.95,Business Owner,Chennai,MassRetail,556,
CUST-043,CustomerFirstName43,CustomerLastName43,1992-10-02,47205.9,Engineer,Kolkata,HNWI,751,EMP-005
CUST-044,CustomerFirstName44,CustomerLastName44,1989-06-10,122161.15,Teacher,Delhi,MassRetail,602,
CUST-045,CustomerFirstName45,CustomerLastName45,1961-12-14,76222.54,Artist,Kolkata,MassAffluent,468,EMP-014
CUST-046,CustomerFirstName46,CustomerLastName46,2004-11-18,102639.61,Artist,Delhi,MassAffluent,779,EMP-016
CUST-047,CustomerFirstName47,CustomerLastName47,1959-07-31,231162.42,Business Owner,Pune,MassRetail,674,
CUST-048,CustomerFirstName48,CustomerLastName48,2003-10-22,130480.88,Consultant,Delhi,MassRetail,765,
CUST-049,CustomerFirstName49,CustomerLastName49,1989-10-12,126687.14,Artist,Delhi,MassAffluent,539,EMP-009
CUST-050,CustomerFirstName50,CustomerLastName50,1992-02-28,267585.76,Artist,Chennai,MassAffluent,364,EMP-001
CUST-051,CustomerFirstName51,CustomerLastName51,1997-09-16,104613.25,Retired,Delhi,HNWI,443,EMP-015
CUST-052,CustomerFirstName52,CustomerLastName52,1952-07-13,105222.08,Student,Delhi,MassRetail,399,
CUST-053,CustomerFirstName53,CustomerLastName53,1986-07-31,57985.93,Student,Hyderabad,MassRetail,729,
CUST-054,CustomerFirstName54,CustomerLastName54,1978-03-27,203378.13,Student,Pune,HNWI,586,EMP-005
CUST-055,CustomerFirstName55,CustomerLastName55,1996-12-22,123748.39,Student,Ahmedabad,MassRetail,541,
CUST-056,CustomerFirstName56,CustomerLastName56,1996-08-29,122853.79,Artist,Mumbai,MassAffluent,707,EMP-004
CUST-057,CustomerFirstName57,CustomerLastName57,1958-04-25,285723.02,Student,Delhi,MassAffluent,517,EMP-007
CUST-058,CustomerFirstName58,CustomerLastName58,1951-06-15,34161.98,Artist,Chennai,HNWI,428,EMP-020
CUST-059,CustomerFirstName59,CustomerLastName59,1954-09-02,252348.99,Business Owner,Chennai,HNWI,538,EMP-007
CUST-060,CustomerFirstName60,CustomerLastName60,2003-09-01,272148.69,Engineer,Kolkata,MassAffluent,448,EMP-005
CUST-061,CustomerFirstName61,CustomerLastName61,1986-10-06,90183.18,Teacher,Delhi,MassRetail,326,
CUST-062,CustomerFirstName62,CustomerLastName62,1951-01-05,120307.84,Business Owner,Hyderabad,MassRetail,316,
CUST-063,CustomerFirstName63,CustomerLastName63,1968-01-22,34671.73,Retired,Delhi,MassRetail,365,
CUST-064,CustomerFirstName64,CustomerLastName64,2002-12-11,121370.91,Doctor,Ahmedabad,MassAffluent,815,EMP-015
CUST-065,CustomerFirstName65,CustomerLastName65,1991-11-10,32142.21,Consultant,Ahmedabad,MassRetail,331,
CUST-066,CustomerFirstName66,CustomerLastName66,1982-08-06,257243.59,Retired,Delhi,MassRetail,802,
CUST-067,CustomerFirstName67,CustomerLastName67,1955-01-01,271794.69,Artist,Bengaluru,HNWI,367,EMP-015
CUST-068,CustomerFirstName68,CustomerLastName68,1968-09-18,194808.9,Artist,Pune,MassRetail,843,
CUST-069,CustomerFirstName69,CustomerLastName69,1984-05-27,189519.5,Doctor,Delhi,MassAffluent,520,EMP-015
CUST-070,CustomerFirstName70,CustomerLastName70,1965-07-20,135867.8,Student,Pune,MassAffluent,725,EMP-015
CUST-071,CustomerFirstName71,CustomerLastName71,1971-04-09,139493.92,Consultant,Hyderabad,HNWI,456,EMP-004
CUST-072,CustomerFirstName72,CustomerLastName72,1954-07-27,45542.94,Doctor,Delhi,HNWI,742,EMP-016
CUST-073,CustomerFirstName73,CustomerLastName73,2000-09-01,226862.88,Teacher,Mumbai,MassRetail,637,
CUST-074,CustomerFirstName74,CustomerLastName74,1977-12-15,119007.46,Retired,Mumbai,HNWI,594,EMP-004
CUST-075,CustomerFirstName75,CustomerLastName75,1973-12-06,49008.16,Business Owner,Bengaluru,HNWI,793,EMP-010
CUST-076,CustomerFirstName76,CustomerLastName76,1957-05-13,118031.92,Artist,Delhi,MassRetail,585,
CUST-077,CustomerFirstName77,CustomerLastName77,2004-12-06,140151.48,Engineer,Kolkata,HNWI,329,EMP-008
CUST-078,CustomerFirstName78,CustomerLastName78,1968-08-06,216755.66,Consultant,Hyderabad,MassRetail,659,
CUST-079,CustomerFirstName79,CustomerLastName79,1962-05-06,263561.56,Retired,Delhi,MassRetail,445,
CUST-080,CustomerFirstName80,CustomerLastName80,1956-03-30,228911.29,Business Owner,Pune,HNWI,729,EMP-001
CUST-081,CustomerFirstName81,CustomerLastName81,1960-09-17,123614.87,Artist,Delhi,MassAffluent,353,EMP-011
CUST-082,CustomerFirstName82,CustomerLastName82,1960-09-17,231242.05,Engineer,Delhi,MassRetail,578,
CUST-083,CustomerFirstName83,CustomerLastName83,1983-01-19,189981.28,Retired,Kolkata,MassAffluent,520,EMP-014
CUST-084,CustomerFirstName84,CustomerLastName84,1973-06-28,140375.82,Consultant,Ahmedabad,HNWI,839,EMP-004
CUST-085,CustomerFirstName85,CustomerLastName85,1953-02-02,81745.16,Engineer,Mumbai,HNWI,509,EMP-010
CUST-086,CustomerFirstName86,CustomerLastName86,2002-03-21,58425.75,Consultant,Kolkata,MassAffluent,635,EMP-007
CUST-087,CustomerFirstName87,CustomerLastName87,1950-07-12,159267.89,Retired,Bengaluru,MassRetail,432,
CUST-088,CustomerFirstName88,CustomerLastName88,1997-11-19,84431.0,Artist,Delhi,MassAffluent,706,EMP-018
CUST-089,CustomerFirstName89,CustomerLastName89,1979-09-08,25247.63,Doctor,Hyderabad,HNWI,739,EMP-002
CUST-090,CustomerFirstName90,CustomerLastName90,1998-04-13,199239.67,Consultant,Delhi,HNWI,714,EMP-013
CUST-091,CustomerFirstName91,CustomerLastName91,1972-02-07,68124.49,Student,Hyderabad,MassRetail,390,
CUST-092,CustomerFirstName92,CustomerLastName92,1966-07-23,141989.43,Retired,Delhi,MassAffluent,705,EMP-004
CUST-093,CustomerFirstName93,CustomerLastName93,1965-01-29,113259.21,Teacher,Delhi,MassAffluent,822,EMP-011
CUST-094,CustomerFirstName94,CustomerLastName94,1986-02-09,162786.58,Artist,Hyderabad,HNWI,451,EMP-004
CUST-095,CustomerFirstName95,CustomerLastName95,1956-12-30,61004.38,Business Owner,Bengaluru,MassRetail,456,
CUST-096,CustomerFirstName96,CustomerLastName96,1962-01-20,286361.8,Student,Ahmedabad,HNWI,759,EMP-003
CUST-097,CustomerFirstName97,CustomerLastName97,1993-10-03,197883.53,Artist,Hyderabad,HNWI,454,EMP-019
CUST-098,CustomerFirstName98,CustomerLastName98,1981-11-29,143818.26,Consultant,Kolkata,MassAffluent,357,EMP-003
CUST-099,CustomerFirstName99,CustomerLastName99,1955-01-19,106914.2,Student,Mumbai,MassAffluent,358,EMP-017
CUST-100,CustomerFirstName100,CustomerLastName100,1955-03-23,200506.61,Doctor,Pune,MassAffluent,773,EMP-010
CUST-101,CustomerFirstName101,CustomerLastName101,2003-11-19,226897.89,Engineer,Ahmedabad,HNWI,492,EMP-018
CUST-102,CustomerFirstName102,CustomerLastName102,1982-05-14,160382.84,Engineer,Ahmedabad,MassAffluent,405,EMP-020
CUST-103,CustomerFirstName103,CustomerLastName103,1984-05-02,200915.59,Engineer,Chennai,MassAffluent,748,EMP-003
CUST-104,CustomerFirstName104,CustomerLastName104,1985-07-28,190745.51,Artist,Hyderabad,MassAffluent,589,EMP-017
CUST-105,CustomerFirstName105,CustomerLastName105,2002-09-14,114742.8,Engineer,Hyderabad,MassAffluent,367,EMP-014
CUST-106,CustomerFirstName106,CustomerLastName106,1987-12-21,209946.22,Consultant,Kolkata,MassAffluent,453,EMP-004
CUST-107,CustomerFirstName107,CustomerLastName107,1989-08-28,205811.39,Artist,Kolkata,MassAffluent,701,EMP-003
CUST-108,CustomerFirstName108,CustomerLastName108,1990-06-29,218473.52,Doctor,Kolkata,MassRetail,685,
CUST-109,CustomerFirstName109,CustomerLastName109,2005-05-03,55782.25,Doctor,Pune,HNWI,820,EMP-011
CUST-110,CustomerFirstName110,CustomerLastName110,1974-09-04,106482.5,Business Owner,Hyderabad,MassAffluent,797,EMP-001
CUST-111,CustomerFirstName111,CustomerLastName111,1965-06-01,299993.45,Teacher,Delhi,MassRetail,602,
CUST-112,CustomerFirstName112,CustomerLastName112,1984-07-19,235844.92,Engineer,Hyderabad,MassRetail,434,
CUST-113,CustomerFirstName113,CustomerLastName113,1960-06-30,65429.22,Teacher,Ahmedabad,HNWI,344,EMP-013
CUST-114,CustomerFirstName114,CustomerLastName114,1996-01-11,221483.99,Student,Kolkata,MassAffluent,759,EMP-012
CUST-115,CustomerFirstName115,CustomerLastName115,1986-05-04,86967.18,Student,Chennai,MassRetail,676,
CUST-116,CustomerFirstName116,CustomerLastName116,1979-12-26,149270.39,Consultant,Pune,HNWI,814,EMP-019
CUST-117,CustomerFirstName117,CustomerLastName117,1961-01-10,248729.55,Teacher,Kolkata,HNWI,353,EMP-014
CUST-118,CustomerFirstName118,CustomerLastName118,1975-04-06,175271.41,Doctor,Delhi,HNWI,591,EMP-016
CUST-119,CustomerFirstName119,CustomerLastName119,2001-12-06,64887.45,Student,Bengaluru,MassRetail,747,
CUST-120,CustomerFirstName120,CustomerLastName120,1965-02-09,248676.91,Artist,Mumbai,MassRetail,724,
CUST-121,CustomerFirstName121,CustomerLastName121,1976-12-23,160561.99,Business Owner,Pune,MassRetail,383,
CUST-122,CustomerFirstName122,CustomerLastName122,1951-12-02,109231.77,Doctor,Hyderabad,MassAffluent,449,EMP-008
CUST-123,CustomerFirstName123,CustomerLastName123,1952-08-10,100326.23,Student,Bengaluru,MassRetail,780,
CUST-124,CustomerFirstName124,CustomerLastName124,1950-05-11,273640.1,Engineer,Kolkata,MassAffluent,520,EMP-020
CUST-125,CustomerFirstName125,CustomerLastName125,1987-05-07,283263.27,Retired,Delhi,MassRetail,595,
CUST-126,CustomerFirstName126,CustomerLastName126,1970-06-30,54117.54,Business Owner,Pune,MassRetail,768,
CUST-127,CustomerFirstName127,CustomerLastName127,1957-07-18,254272.56,Student,Mumbai,MassRetail,827,
CUST-128,CustomerFirstName128,CustomerLastName128,1998-11-24,60201.52,Retired,Mumbai,HNWI,661,EMP-008
CUST-129,CustomerFirstName129,CustomerLastName129,1988-10-31,136638.93,Doctor,Hyderabad,MassRetail,369,
CUST-130,CustomerFirstName130,CustomerLastName130,1984-07-10,240195.45,Engineer,Pune,HNWI,781,EMP-018
CUST-131,CustomerFirstName131,CustomerLastName131,1993-04-04,128326.77,Artist,Kolkata,MassRetail,316,
CUST-132,CustomerFirstName132,CustomerLastName132,1973-06-19,87515.26,Doctor,Hyderabad,MassAffluent,436,EMP-003
CUST-133,CustomerFirstName133,CustomerLastName133,1973-12-22,172883.85,Teacher,Ahmedabad,MassRetail,790,
CUST-134,CustomerFirstName134,CustomerLastName134,2005-03-22,57758.72,Student,Mumbai,HNWI,600,EMP-006
CUST-135,CustomerFirstName135,CustomerLastName135,1952-12-24,241510.58,Engineer,Hyderabad,MassRetail,617,
CUST-136,CustomerFirstName136,CustomerLastName136,1986-12-15,152551.93,Engineer,Chennai,HNWI,592,EMP-013
CUST-137,CustomerFirstName137,CustomerLastName137,1994-08-16,112938.91,Doctor,Hyderabad,MassAffluent,747,EMP-002
CUST-138,CustomerFirstName138,CustomerLastName138,1976-04-24,114930.26,Teacher,Ahmedabad,MassAffluent,809,EMP-015
CUST-139,CustomerFirstName139,CustomerLastName139,1968-02-25,244321.46,Retired,Delhi,MassAffluent,740,EMP-017
CUST-140,CustomerFirstName140,CustomerLastName140,1987-02-13,102254.6,Doctor,Delhi,HNWI,635,EMP-006
CUST-141,CustomerFirstName141,CustomerLastName141,1970-11-09,144856.41,Retired,Bengaluru,HNWI,754,EMP-010
CUST-142,CustomerFirstName142,CustomerLastName142,1952-11-18,223508.03,Artist,Pune,MassAffluent,581,EMP-015
CUST-143,CustomerFirstName143,CustomerLastName143,1955-02-09,207931.49,Retired,Hyderabad,HNWI,825,EMP-002
CUST-144,CustomerFirstName144,CustomerLastName144,1952-02-14,59978.25,Student,Mumbai,HNWI,429,EMP-006
CUST-145,CustomerFirstName145,CustomerLastName145,1966-01-22,237984.3,Artist,Hyderabad,MassRetail,692,
CUST-146,CustomerFirstName146,CustomerLastName146,1991-03-06,62962.69,Student,Hyderabad,HNWI,680,EMP-002
CUST-147,CustomerFirstName147,CustomerLastName147,1989-01-20,58554.63,Artist,Pune,MassAffluent,621,EMP-003
CUST-148,CustomerFirstName148,CustomerLastName148,1966-12-27,288945.61,Engineer,Bengaluru,HNWI,811,EMP-009
CUST-149,CustomerFirstName149,CustomerLastName149,1988-03-22,52973.08,Consultant,Ahmedabad,HNWI,519,EMP-013
CUST-150,CustomerFirstName150,CustomerLastName150,1997-03-23,276614.09,Student,Chennai,HNWI,425,EMP-010
CUST-151,CustomerFirstName151,CustomerLastName151,1955-01-15,146571.95,Student,Delhi,MassRetail,627,
CUST-152,CustomerFirstName152,CustomerLastName152,1998-04-14,38182.94,Consultant,Kolkata,HNWI,461,EMP-012
CUST-153,CustomerFirstName153,CustomerLastName153,2004-01-05,121217.81,Business Owner,Delhi,HNWI,505,EMP-006
CUST-154,CustomerFirstName154,CustomerLastName154,1966-02-10,241304.46,Engineer,Hyderabad,MassRetail,677,
CUST-155,CustomerFirstName155,CustomerLastName155,1958-10-31,191345.54,Doctor,Delhi,MassAffluent,616,EMP-018
CUST-156,CustomerFirstName156,CustomerLastName156,1985-10-10,135022.63,Retired,Delhi,MassAffluent,428,EMP-016
CUST-157,CustomerFirstName157,CustomerLastName157,1980-08-15,150433.3,Artist,Bengaluru,MassAffluent,486,EMP-003
CUST-158,CustomerFirstName158,CustomerLastName158,1979-06-10,160801.86,Engineer,Delhi,MassRetail,830,
CUST-159,CustomerFirstName159,CustomerLastName159,1970-09-12,66103.98,Artist,Chennai,MassRetail,654,
CUST-160,CustomerFirstName160,CustomerLastName160,1955-05-15,90169.49,Consultant,Bengaluru,HNWI,610,EMP-010
CUST-161,CustomerFirstName161,CustomerLastName161,1956-05-11,160720.48,Teacher,Bengaluru,HNWI,475,EMP-018
CUST-162,CustomerFirstName162,CustomerLastName162,1999-01-15,272560.25,Artist,Mumbai,HNWI,329,EMP-020
CUST-163,CustomerFirstName163,CustomerLastName163,1953-02-03,285593.12,Consultant,Chennai,MassRetail,726,
CUST-164,CustomerFirstName164,CustomerLastName164,1983-11-22,268919.13,Consultant,Kolkata,HNWI,794,EMP-001
CUST-165,CustomerFirstName165,CustomerLastName165,2004-10-04,246057.81,Retired,Kolkata,MassRetail,764,
CUST-166,CustomerFirstName166,CustomerLastName166,1996-11-10,36775.65,Student,Pune,MassRetail,795,
CUST-167,CustomerFirstName167,CustomerLastName167,1973-02-24,189864.87,Artist,Hyderabad,MassAffluent,653,EMP-007
CUST-168,CustomerFirstName168,CustomerLastName168,2001-10-06,123751.26,Doctor,Hyderabad,MassAffluent,547,EMP-005
CUST-169,CustomerFirstName169,CustomerLastName169,1968-03-15,145886.88,Teacher,Delhi,MassAffluent,351,EMP-004
CUST-170,CustomerFirstName170,CustomerLastName170,1991-11-17,137077.73,Teacher,Hyderabad,MassAffluent,620,EMP-013
CUST-171,CustomerFirstName171,CustomerLastName171,2001-12-06,64615.88,Student,Ahmedabad,MassRetail,615,
CUST-172,CustomerFirstName172,CustomerLastName172,1956-02-17,284665.19,Student,Chennai,MassAffluent,520,EMP-001
CUST-173,CustomerFirstName173,CustomerLastName173,1953-04-24,34151.31,Student,Ahmedabad,HNWI,592,EMP-012
CUST-174,CustomerFirstName174,CustomerLastName174,1957-04-25,140659.78,Consultant,Hyderabad,HNWI,712,EMP-001
CUST-175,CustomerFirstName175,CustomerLastName175,1977-04-05,34324.15,Business Owner,Hyderabad,MassAffluent,595,EMP-002
CUST-176,CustomerFirstName176,CustomerLastName176,1976-04-16,161191.55,Consultant,Delhi,MassRetail,431,
CUST-177,CustomerFirstName177,CustomerLastName177,1976-10-21,124495.53,Artist,Hyderabad,MassRetail,447,
CUST-178,CustomerFirstName178,CustomerLastName178,1990-12-31,162554.3,Engineer,Mumbai,MassRetail,339,
CUST-179,CustomerFirstName179,CustomerLastName179,1998-07-24,113251.4,Student,Ahmedabad,MassRetail,452,
CUST-180,CustomerFirstName180,CustomerLastName180,1959-07-07,111830.44,Artist,Bengaluru,HNWI,702,EMP-017
CUST-181,CustomerFirstName181,CustomerLastName181,1990-05-28,114184.57,Student,Kolkata,HNWI,786,EMP-010
CUST-182,CustomerFirstName182,CustomerLastName182,1975-01-25,112747.09,Doctor,Pune,MassRetail,615,
CUST-183,CustomerFirstName183,CustomerLastName183,1990-08-15,152885.26,Business Owner,Mumbai,HNWI,791,EMP-001
CUST-184,CustomerFirstName184,CustomerLastName184,1985-09-03,196127.07,Retired,Bengaluru,MassRetail,548,
CUST-185,CustomerFirstName185,CustomerLastName185,1988-12-18,285497.45,Doctor,Chennai,MassRetail,319,
CUST-186,CustomerFirstName186,CustomerLastName186,1978-07-01,62400.75,Business Owner,Pune,MassAffluent,813,EMP-011
CUST-187,CustomerFirstName187,CustomerLastName187,2000-01-28,223672.59,Teacher,Chennai,HNWI,632,EMP-016
CUST-188,CustomerFirstName188,CustomerLastName188,1985-10-04,125510.94,Teacher,Ahmedabad,HNWI,845,EMP-016
CUST-189,CustomerFirstName189,CustomerLastName189,1974-02-09,209243.2,Consultant,Ahmedabad,MassAffluent,496,EMP-018
CUST-190,CustomerFirstName190,CustomerLastName190,1968-12-26,176264.26,Business Owner,Kolkata,MassRetail,595,
